"","lon","lat"
"199",-77.8600012,40.7933949
"200",-122.4119508,37.7644941
"201",45.079162,23.885942
"202",-0.1277583,51.5073509
"203",-82.907123,40.4172871
"204",-72.0033016,44.5344853
"205",-95.712891,37.09024
"206",-84.5441336,42.747699
"207",-122.0575434,37.387474
"208",-1.1743197,52.3555177
"209",-71.0588801,42.3600825
"210",-1.984725,53.97649
"211",138.252924,36.204824
"212",-122.788377,45.4604
"213",-78.899776,35.995494
"214",-74.348582,40.2859203
"217",-82.9000751,32.1656221
"218",-121.822098,36.6149217
"219",-96.999882,28.821055
"220",-99.9018131,31.9685988
"221",-71.7892216,42.5596586
"222",-6.2603097,53.3498053
"224",-93.097702,41.8780025
"225",-81.1637245,33.836081
"226",-82.907123,40.4172871
"227",-95.712891,37.09024
"228",-79.8711024,43.2557206
"229",-105.0813734,39.7047095
"230",-118.3924112,33.9860492
"232",-3.435973,55.378051
"233",-75.1652215,39.9525839
"234",23.7275388,37.9838096
"235",-78.6568942,37.4315734
"236",-73.9441579,40.6781784
"237",-117.8311428,33.7174708
"238",-73.9441579,40.6781784
"239",-1.5840664,52.798497
"240",-78.835682,40.267516
"241",71.1923805,22.258652
"242",22.937506,-30.559482
"243",2.213749,46.227638
"244",-82.9000751,32.1656221
"245",-99.9018131,31.9685988
"246",-121.8746789,37.6624312
"247",-82.7868415,27.9324725
"248",8.2145521,53.1434501
"249",-80.8081413,35.5859146
"250",-119.2233014,46.2349999
"251",28.3228165,-15.3875259
"252",-95.3698028,29.7604267
"253",-98.4936282,29.4241219
"254",-122.4194155,37.7749295
"255",-95.3698028,29.7604267
"256",-79.0192997,35.7595731
"261",-4.2026458,56.4906712
"262",-72.6151169,40.9848784
"263",-97.4965049,35.5481854
"264",-122.3320708,47.6062095
"265",-71.0588801,42.3600825
"266",-122.4044815,37.7852269
"267",-81.441779,41.1014451
"268",-96.4719312,32.7481845
"269",-95.8324997,37.529724
"270",-79.3831843,43.653226
"271",-97.2517439,32.6566482
"272",-77.0368707,38.9071923
"273",-1.0333573,53.9062233
"274",-74.2390828,40.7985699
"275",-73.4085463,41.5770433
"276",-2.2049362,53.5541091
"277",-74.2995928,40.6584212
"278",-97.151931,29.2877469
"279",77.2090212,28.6139391
"280",-95.712891,37.09024
"282",-74.0059728,40.7127753
"284",-1.470085,53.381129
"285",-95.3698028,29.7604267
"286",-97.5247243,37.6537367
"287",-94.5785667,39.0997265
"288",-74.1032842,40.5981128
"289",-79.3831843,43.653226
"290",-82.0990223,37.2778886
"291",-70.6480656,-33.2756218
"292",-95.7243335,37.2321077
"293",-87.2169149,30.421309
"294",-2.084503,52.508434
"295",-79.9958864,40.4406248
"296",18.4240553,-33.9248685
"297",-77.1945247,41.2033216
"298",-79.6876659,43.467517
"300",-71.0588801,42.3600825
"302",-84.5613355,39.3995008
"303",-99.9018131,31.9685988
"304",-95.7243335,37.2321077
"305",3.3792057,6.5243793
"306",-97.3439269,32.7338029
"307",-73.9645541,40.8063057
"309",-94.6858998,46.729553
"310",-1.1743197,52.3555177
"311",-95.8999656,33.2470567
"312",-118.2436849,34.0522342
"313",-85.6602058,30.1588129
"315",-91.8318334,37.9642529
"316",-69.4454689,45.253783
"317",-0.3367413,53.7456709
"318",28.0567007,-26.1075663
"320",-90.1994042,38.6270025
"321",-84.2807329,30.4382559
"322",-86.9833417,34.6059253
"323",-122.4194155,37.7749295
"324",-95.712891,37.09024
"325",-95.6179019,37.0341738
"326",-82.907123,40.4172871
"327",-70.2568189,43.6590993
"328",-77.3439283,38.6418278
"329",-90.5089815,30.7265747
"330",-74.8518311,40.1006661
"332",-93.215322,44.816006
"333",-77.0368707,38.9071923
"334",-115.1398296,36.1699412
"335",-122.0981847,47.9128756
"336",-118.2436849,34.0522342
"337",-71.1097335,42.3736158
"338",77.0266383,28.4594965
"339",-92.4453161,42.5348993
"340",-95.992775,36.1539816
"341",-73.7823549,40.9114882
"343",-73.9441579,40.6781784
"344",-85.6023643,44.3148443
"345",-103.575193,43.9324855
"346",-79.9958864,40.4406248
"347",77.2090212,28.6139391
"348",-75.3937949,40.924537
"350",-119.4179324,36.778261
"351",27.142826,38.423734
"352",-81.5157535,27.6648274
"353",-90.0715323,29.9510658
"354",-84.3879824,33.7489954
"355",-85.6680863,42.9633599
"356",-4.2026458,56.4906712
"357",-81.5157535,27.6648274
"358",-123.1207375,49.2827291
"359",-78.6568942,37.4315734
"360",-88.7878678,43.7844397
"361",-77.7905339,35.9382103
"363",-73.9805417,40.7634378
"364",-82.9987942,39.9611755
"365",-118.2436849,34.0522342
"366",-79.3831843,43.653226
"367",-79.8953328,40.8611755
"368",27.849332,-13.133897
"369",-73.9441579,40.6781784
"371",-74.072092,4.7109886
"373",-79.0192997,35.7595731
"374",-86.8103567,33.5185892
"375",-75.5276699,38.5826603
"376",-4.2026458,56.4906712
"377",-85.6023643,44.3148443
"378",-78.6381787,35.7795897
"380",-83.1499322,42.6583661
"381",-73.8648268,40.8447819
"382",-0.2710568,51.5672808
"383",-74.0059728,40.7127753
"385",-86.1349019,40.2671941
"386",8.980523,45.8742409
"387",75.5761829,31.3260152
"389",-104.9942739,39.7507081
"390",-95.712891,37.09024
"391",77.5945627,12.9715987
"392",-82.5436722,27.763383
"393",-85.6023643,44.3148443
"394",101.686855,3.139003
"395",-74.0059728,40.7127753
"397",-90.0656993,29.9427713
"398",-82.9987942,39.9611755
"399",-95.712891,37.09024
"400",77.5945627,12.9715987
"402",-119.4179324,36.778261
"403",-95.7243335,37.2321077
"404",-95.712891,37.09024
"405",-84.3879824,33.7489954
"406",-121.8863286,37.3382082
"407",-75.1652419,39.9526322
"408",-92.4453161,42.5348993
"409",-91.9623327,30.9842977
"410",-110.9747108,32.2226066
"411",-113.4909267,53.544389
"412",-84.5120196,39.1031182
"413",-1.234956,54.574227
"414",-77.0368707,38.9071923
"415",-96.0584222,36.2349435
"416",-95.266826,36.249758
"417",-99.9018131,31.9685988
"418",96.845354,4.3283294
"419",-95.4612625,30.1658207
"420",-74.0059728,40.7127753
"421",-99.9018131,31.9685988
"422",-90.822871,29.7957633
"423",-97.4394777,35.2225668
"424",-87.522989,41.495186
"426",-82.4351539,28.0511331
"428",-77.7452081,43.2841246
"430",-95.712891,37.09024
"432",4.469936,50.503887
"433",-84.3879824,33.7489954
"434",-99.9018131,43.9695148
"435",0.8864021,52.6139686
"436",-77.3663538,35.612661
"437",-70.1983719,44.4871025
"438",-95.716216,37.2266829
"439",-2.2426305,53.4807593
"440",-74.0059728,40.7127753
"441",128.5737302,27.3336755
"442",-75.3326692,43.1572918
"443",-80.1289321,26.3683064
"444",-0.7219,51.522414
"445",-81.4845585,41.1339449
"446",-81.6888248,35.744679
"448",78.96288,20.593684
"449",-77.0368707,38.9071923
"450",22.937506,-30.559482
"452",-119.4179324,36.778261
"453",-2.2496839,52.388596
"454",-75.2069354,40.2644172
"455",-80.1917902,25.7616798
"456",-95.712891,37.09024
"457",-85.7584557,38.2526647
"459",-74.0059728,40.7127753
"460",-74.0059728,40.7127753
"461",-74.4275262,40.6208087
"462",-81.2452768,42.9849233
"463",-81.5157535,27.6648274
"464",101.975766,4.210484
"465",-81.6326234,38.3498195
"466",-0.1277583,51.5073509
"467",-84.3879824,33.7489954
"468",-85.7584557,38.2526647
"470",-79.5394625,43.8430176
"471",-73.9842721,40.7257277
"472",-3.7837117,52.1306607
"474",-84.1916069,39.7589478
"475",13.3808647,52.5155711
