"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"3258","Blaaaaaaaahhh.......When I Had The Flu.....My Hormones Got Outta Whack....

No Hormone Shots For Three Weeks......… https://t.co/4aXt7pwrEC",FALSE,0,NA,2019-03-07 08:32:36,TRUE,NA,"1103574152835928064",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","BimmerGirl_702",0,FALSE,FALSE,NA,NA
"3260","washa washa. @hiphopsundays1 . 
#GHETTOCHILD https://t.co/RZkb1bYqr0",FALSE,2,NA,2019-03-07 08:32:06,FALSE,NA,"1103574030303588354",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","flu_mc",2,FALSE,FALSE,NA,NA
"3264","40-year old previously healthy woman intubated in the ICU for 2 weeks with #influenza. Get your fucking #flushot. <U+0001F489><U+0001F917>",FALSE,2,NA,2019-03-07 08:31:40,FALSE,NA,"1103573920626679809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dr_saxelrath",1,FALSE,FALSE,NA,NA
"3267","@leilaluheshi @trvrb For seasonal influenza there isn’t much need for faster sequencing. I would imagine that is ju… https://t.co/V0k2C6BEyw",FALSE,0,"leilaluheshi",2019-03-07 08:31:10,TRUE,"1103569355160387584","1103573795355410432","57371866","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","arambaut",0,FALSE,FALSE,NA,NA
"3268","1997 OG Air Jordan 12 Flu Game Sales Sample Promo, Size 9 https://t.co/6P7uCQhoy3",FALSE,0,NA,2019-03-07 08:30:55,FALSE,NA,"1103573731471962114",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","Zodilux",0,FALSE,FALSE,NA,NA
"3270","Patients with #COPD are less likely to be hospitalized if they receive a #flushot. This latest study adds clarity t… https://t.co/fS1ximveSA",FALSE,0,NA,2019-03-07 08:30:00,TRUE,NA,"1103573500369887232",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","connectingnurse",1,FALSE,FALSE,NA,NA
"3271","I wish my mom was an anti Vaxxer and I was 6 again so I could go to the new Serbian kid, Igor’s, Spanish flu birthday party on Saturday.",FALSE,0,NA,2019-03-07 08:29:39,FALSE,NA,"1103573413820547075",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WaterBottleLoL",0,FALSE,FALSE,NA,NA
"3272","1997 OG Air Jordan 12 Flu Game Sales Sample Promo, Size 9 https://t.co/jiCqOEv8wL",FALSE,0,NA,2019-03-07 08:29:35,FALSE,NA,"1103573395990605824",NA,"<a href=""http://twibble.io"" rel=""nofollow"">Twibble.io</a>","GreatBossMoves",0,FALSE,FALSE,NA,NA
"3274","And I’m over here with the flu <U+0001F637> ugh",FALSE,0,NA,2019-03-07 08:29:09,FALSE,NA,"1103573287190183937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alexmiichellee",0,FALSE,FALSE,NA,NA
"3276","This Is the Truth About Vaccines https://t.co/eQ2GVYhchV",FALSE,0,NA,2019-03-07 08:28:22,FALSE,NA,"1103573087461752832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","naeem_i",0,FALSE,FALSE,NA,NA
"3279","@leilaluheshi @trvrb @arambaut It's all of those. Our fastest turnarounds are in the order of 1 week, but that is v… https://t.co/0NrngQIsOS",FALSE,2,"leilaluheshi",2019-03-07 08:26:32,TRUE,"1103569355160387584","1103572627506057217","57371866","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tomrconnor",2,FALSE,FALSE,NA,NA
"3280","Omg this flu tho<U+0001F622><U+0001F622><U+0001F622><U+0001F622><U+0001F622><U+0001F927> whys it gettin worse not better... At least my legs aren't spasming anymore.",FALSE,0,NA,2019-03-07 08:25:52,FALSE,NA,"1103572461281599488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","InkySwink",0,FALSE,FALSE,NA,NA
"3281","Event is officially over, flu not <U+0001F648>",FALSE,18,"NandaIee",2019-03-07 08:25:52,FALSE,"1102547655585083392","1103572460832731136","2421168410","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NandaIee",0,FALSE,FALSE,NA,NA
"3283","@OTSSCommunity man flu :( no streams ahhh howeve i am about here and there supporting &lt;3",FALSE,2,"OTSSCommunity",2019-03-07 08:25:15,FALSE,"1103521649050206209","1103572303445667840","985610516453314565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OTSSFOZZARD1",1,FALSE,FALSE,NA,NA
"3285","Man flu is killing me :( sorry peeps no stream for me today i hope i feel a bit better for Fozzy fun friday's!! 

A… https://t.co/Xvjkb0IQUq",FALSE,14,NA,2019-03-07 08:24:39,TRUE,NA,"1103572152723390464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OTSSFOZZARD1",3,FALSE,FALSE,NA,NA
"3286","@Education4Libs Maybe if we say they are bringing the flu with them- <U+0001F449><U+0001F3FB>Obama Declares Swine Flu Outbreak a National… https://t.co/TGZqp1iogl",FALSE,0,"Education4Libs",2019-03-07 08:24:29,TRUE,"1103411632347193344","1103572111388565505","817661098988019712","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","StacyandBrad",1,FALSE,FALSE,NA,NA
"3287","getting the flu prob shit sucks",FALSE,0,NA,2019-03-07 08:23:59,FALSE,NA,"1103571986272391168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jaredfreese",0,FALSE,FALSE,NA,NA
